aX,aY,aZ,gX,gY,gZ
0.134,0.558,0.767,4.272,-1.526,0.549
0.132,0.558,0.768,4.456,-1.709,0.183
0.132,0.561,0.769,4.517,-1.465,-0.122
0.160,0.573,0.755,4.272,-0.977,-0.305
0.169,0.589,0.704,4.211,-0.671,-0.122
0.049,0.501,0.892,4.272,-0.488,-0.061
0.252,0.613,0.690,3.967,-0.671,0.244
0.096,0.549,0.775,4.272,-1.587,0.122
0.095,0.525,0.856,3.845,-1.404,0.061
0.246,0.625,0.666,3.601,-1.343,-0.122
0.068,0.537,0.808,3.723,-1.648,0.061
0.126,0.547,0.825,3.296,-1.038,0.305
0.234,0.627,0.654,3.296,-1.099,0.488
0.048,0.520,0.832,3.845,-1.221,0.549
0.155,0.558,0.795,3.845,-0.671,0.549
0.217,0.612,0.661,4.028,-0.732,0.488
0.040,0.505,0.858,3.906,-0.732,0.366
